"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
122.985264;122.985264;Vinyl acetic acid;[M+K-H2];C4H6O2;-1.20432e-4;-0.979238;122.985384;1 out of 5
122.985264;122.985264;Isocrotonic acid;[M+K-H2];C4H6O2;-1.20432e-4;-0.979238;122.985384;1 out of 5
122.985264;122.985264;Crotonic acid;[M+K-H2];C4H6O2;-1.20432e-4;-0.979238;122.985384;1 out of 5
122.985264;122.985264;but-2-enoic acid;[M+K-H2];C4H6O2;-1.20432e-4;-0.979238;122.985384;1 out of 5
122.985264;122.985264;Dihydrofuran-2(3H)-one;[M+K-H2];C4H6O2;-1.20432e-4;-0.979238;122.985384;1 out of 5
122.985264;122.985264;Diacetyl;[M+K-H2];C4H6O2;-1.20432e-4;-0.979238;122.985384;1 out of 5
122.985264;122.985264;Pyruvic acid;[M+Cl];C3H4O3;-1.80988e-4;-1.471621;122.985445;1 out of 5
125.001099;125.001099;Butyric acid;[M+K-H2];C4H8O2;6.45040e-5;0.516028;125.001034;1 out of 5
125.001099;125.001099;Isobutyric acid;[M+K-H2];C4H8O2;6.45040e-5;0.516028;125.001034;1 out of 5
125.001099;125.001099;Methyl propionate;[M+K-H2];C4H8O2;6.45040e-5;0.516028;125.001034;1 out of 5
125.001099;125.001099;3-Hydroxybutan-2-one;[M+K-H2];C4H8O2;6.45040e-5;0.516028;125.001034;1 out of 5
125.001099;125.001099;3R-Hydroxybutan-2-one;[M+K-H2];C4H8O2;6.45040e-5;0.516028;125.001034;1 out of 5
134.985269;134.985269;beta-vinyl acrylic acid;[M+K-H2];C5H6O2;-1.15432e-4;-0.855144;134.985384;1 out of 5
134.985269;134.985269;"penta-2,4-dienoic acid";[M+K-H2];C5H6O2;-1.15432e-4;-0.855144;134.985384;1 out of 5
140.011839;140.011839;2S-amino-butanoic acid;[M+K-H2];C4H9NO2;-9.45280e-5;-0.675142;140.011934;1 out of 5
140.011839;140.011839;4-amino-butanoic acid;[M+K-H2];C4H9NO2;-9.45280e-5;-0.675142;140.011934;1 out of 5
140.011839;140.011839;2R-amino-butanoic acid;[M+K-H2];C4H9NO2;-9.45280e-5;-0.675142;140.011934;1 out of 5
140.011839;140.011839;(R)-b-amino-isobutyric acid;[M+K-H2];C4H9NO2;-9.45280e-5;-0.675142;140.011934;1 out of 5
